id,gsn,shardId,latency (ns),dataGenTime (ns),totalBytes,totalTime (ns)
465,30466,0,10994296,491,1000000,81296251770
466,30467,0,19535827,605,1000000,81296251770
467,30468,0,20120462,578,1000000,81296251770
468,30469,0,19997406,504,1000000,81296251770
469,30470,0,20033219,608,1000000,81296251770
470,30471,0,19936679,642,1000000,81296251770
471,30472,0,19818500,571,1000000,81296251770
472,30473,0,20549218,638,1000000,81296251770
473,30474,0,19526118,655,1000000,81296251770
474,30475,0,20185652,488,1000000,81296251770
475,30476,0,20414904,594,1000000,81296251770
476,30477,0,19666582,505,1000000,81296251770
477,30478,0,19782465,491,1000000,81296251770
478,30479,0,20260826,598,1000000,81296251770
479,30480,0,19655533,668,1000000,81296251770
480,30481,0,20272467,598,1000000,81296251770
481,30482,0,19915035,615,1000000,81296251770
482,30483,0,20071805,638,1000000,81296251770
483,30484,0,19920115,632,1000000,81296251770
484,30485,0,19986900,568,1000000,81296251770
485,30486,0,20088905,675,1000000,81296251770
486,30487,0,19845913,568,1000000,81296251770
487,30488,0,20311992,598,1000000,81296251770
488,30489,0,19563578,608,1000000,81296251770
489,30490,0,20227864,492,1000000,81296251770
490,30491,0,20183125,621,1000000,81296251770
491,30492,0,19797102,598,1000000,81296251770
492,30493,0,20164790,708,1000000,81296251770
493,30494,0,19883806,782,1000000,81296251770
494,30495,0,19976148,561,1000000,81296251770
495,30496,0,19860666,575,1000000,81296251770
496,30497,0,20066810,715,1000000,81296251770
497,30498,0,20059719,598,1000000,81296251770
498,30499,0,19921598,922,1000000,81296251770
499,30500,0,20074375,585,1000000,81296251770
500,30501,0,20366737,507,1000000,81296251770
501,30502,0,19548021,601,1000000,81296251770
502,30503,0,20247343,604,1000000,81296251770
503,30504,0,20130917,625,1000000,81296251770
504,30505,0,19430320,588,1000000,81296251770
505,30506,0,20233435,641,1000000,81296251770
506,30507,0,19977325,588,1000000,81296251770
507,30508,0,20346583,631,1000000,81296251770
508,30509,0,19793033,601,1000000,81296251770
509,30510,0,20285324,605,1000000,81296251770
510,30511,0,19495861,654,1000000,81296251770
511,30512,0,19568450,655,1000000,81296251770
512,30513,0,19801932,629,1000000,81296251770
513,30514,0,11041242,712,1000000,81296251770
514,30515,0,19339571,598,1000000,81296251770
515,30516,0,20139823,671,1000000,81296251770
516,30517,0,20310618,605,1000000,81296251770
517,30518,0,20214603,672,1000000,81296251770
518,30519,0,19702207,629,1000000,81296251770
519,30520,0,19857011,655,1000000,81296251770
520,30521,0,19988119,631,1000000,81296251770
521,30522,0,20053175,625,1000000,81296251770
522,30523,0,20103483,595,1000000,81296251770
523,30524,0,19896921,628,1000000,81296251770
524,30525,0,19760805,485,1000000,81296251770
525,30526,0,20102864,698,1000000,81296251770
526,30527,0,19362268,508,1000000,81296251770
527,30528,0,10721769,658,1000000,81296251770
528,30529,0,20069988,679,1000000,81296251770
529,30530,0,20118741,578,1000000,81296251770
530,30531,0,20090853,651,1000000,81296251770
531,30532,0,19635925,608,1000000,81296251770
532,30533,0,20147706,621,1000000,81296251770
